LON,LAT,X
-118.5779,34.221,1.0
-118.5779,34.2522,1.0
-118.5779,34.2573,3.0
-118.5778,34.2776,1.0
-118.5776,34.2318,7.0
-118.5776,34.2337,1.0
-118.5776,34.2816,2.0
-118.5775,34.2337,3.0
-118.5774,34.2573,1.0
-118.577,34.25,2.0
-118.5765,34.2246,1.0
-118.5765,34.2355,3.0
-118.5757,34.2746,15.0
-118.5756,34.2877,1.0
-118.5755,34.2318,1.0
-118.5754,34.212,1.0
-118.5754,34.2246,1.0
-118.5754,34.2346,1.0
-118.5754,34.2392,2.0
-118.5754,34.241,2.0
-118.5754,34.2464,1.0
-118.5754,34.2866,12.0
-118.5753,34.201,1.0
-118.5749,34.1695,1.0
-118.5745,34.2439,1.0
-118.5744,34.2894,1.0
-118.5742,34.2523,1.0
-118.5741,34.2748,1.0
-118.5741,34.2865,1.0
-118.5739,34.2192,1.0
-118.5739,34.233,2.0
-118.5739,34.2346,1.0
-118.5736,34.2462,1.0
-118.5735,34.2427,3.0
-118.5735,34.2904,4.0
-118.5735,34.2942,1.0
-118.5733,34.2392,1.0
-118.5733,34.2846,2.0
-118.5732,34.2392,2.0
-118.5728,34.2751,4.0
-118.5725,34.2857,1.0
-118.5723,34.2318,3.0
-118.5723,34.2319,1.0
-118.5723,34.233,1.0
-118.5723,34.2345,1.0
-118.5718,34.2431,1.0
-118.5716,34.2318,2.0
-118.5714,34.2202,1.0
-118.5711,34.2318,5.0
-118.5711,34.2339,2.0
-118.5711,34.2375,2.0
-118.571,34.1823,1.0
-118.571,34.2059,1.0
-118.571,34.2204,1.0
-118.571,34.2222,3.0
-118.571,34.2246,4.0
-118.5709,34.171,1.0
-118.5709,34.2579,1.0
-118.5706,34.2755,1.0
-118.5704,34.2392,1.0
-118.5702,34.2756,12.0
-118.5701,34.2756,4.0
-118.5699,34.192,1.0
-118.5695,34.2403,2.0
-118.5688,34.2282,1.0
-118.5684,34.2753,2.0
-118.5683,34.2756,8.0
-118.5682,34.0921,1.0
-118.5682,34.1719,1.0
-118.5681,34.172,1.0
-118.5681,34.2753,14.0
-118.5678,34.2427,1.0
-118.5669,34.2383,2.0
-118.5669,34.2391,1.0
-118.5669,34.2409,4.0
-118.5669,34.2427,2.0
-118.5669,34.2428,1.0
-118.5668,34.2362,1.0
-118.5667,34.2203,1.0
-118.5667,34.2246,1.0
-118.5667,34.2308,1.0
-118.5666,34.201,1.0
-118.5661,34.2749,20.0
-118.5657,34.275,16.0
-118.5655,34.2319,2.0
-118.5652,34.2751,7.0
-118.5649,34.2427,1.0
-118.5649,34.2748,18.0
-118.5648,34.0769,2.0
-118.5647,34.232,2.0
-118.5646,34.2359,4.0
-118.5646,34.2391,1.0
-118.5645,34.2282,1.0
-118.5645,34.2358,1.0
-118.5644,34.201,1.0
