LON,LAT,F
-118.6354,34.1644,2.0
-118.6354,34.1701,6.0
-118.6353,34.1684,1.0
-118.6353,34.1983,2.0
-118.6353,34.2168,1.0
-118.6353,34.2182,1.0
-118.6352,34.1637,1.0
-118.6352,34.1831,1.0
-118.635,34.2042,2.0
-118.6349,34.1571,3.0
-118.6347,34.1966,2.0
-118.6347,34.2214,2.0
-118.6346,34.1792,1.0
-118.6346,34.1873,1.0
-118.6346,34.1937,1.0
-118.6346,34.1946,1.0
-118.6345,34.1628,1.0
-118.6345,34.1882,2.0
-118.6345,34.189,3.0
-118.6345,34.1899,4.0
-118.6345,34.1928,1.0
-118.6345,34.1946,4.0
-118.6345,34.1954,1.0
-118.6344,34.1643,2.0
-118.6344,34.1855,1.0
-118.6344,34.2111,1.0
-118.6344,34.2196,1.0
-118.6344,34.2206,1.0
-118.6343,34.1532,2.0
-118.6343,34.1719,1.0
-118.6343,34.1737,2.0
-118.6343,34.1755,1.0
-118.6343,34.177,2.0
-118.6343,34.1786,1.0
-118.6343,34.1809,2.0
-118.6343,34.2166,1.0
-118.6342,34.1665,1.0
-118.6342,34.1755,1.0
-118.6342,34.1864,2.0
-118.6342,34.2055,1.0
-118.634,34.1765,8.0
-118.6338,34.1691,1.0
-118.6338,34.2102,1.0
-118.6337,34.2119,1.0
-118.6336,34.1622,1.0
-118.6336,34.2045,2.0
-118.6336,34.2128,1.0
-118.6336,34.2149,4.0
-118.6336,34.2158,1.0
-118.6335,34.1899,1.0
-118.6335,34.1946,1.0
-118.6335,34.2226,1.0
-118.6333,34.1548,29.0
-118.6333,34.1846,1.0
-118.6332,34.1614,1.0
-118.6331,34.2023,1.0
-118.6328,34.206,1.0
-118.6328,34.211,3.0
-118.6327,34.1804,3.0
-118.6327,34.1837,2.0
-118.6327,34.1937,3.0
-118.6327,34.2048,3.0
-118.6326,34.1899,2.0
-118.6326,34.1946,1.0
-118.6325,34.1601,3.0
-118.6325,34.1882,2.0
-118.6324,34.1576,3.0
-118.6324,34.2011,1.0
-118.6322,34.2082,3.0
-118.6322,34.2119,3.0
-118.6322,34.2141,1.0
-118.6322,34.2157,1.0
-118.6322,34.2172,7.0
-118.6322,34.2183,1.0
-118.6322,34.2193,1.0
-118.6321,34.1657,1.0
-118.6321,34.1719,2.0
-118.6321,34.1737,2.0
-118.6321,34.1755,1.0
-118.6321,34.1773,2.0
-118.6321,34.1928,1.0
-118.6321,34.1946,1.0
-118.6321,34.1987,1.0
-118.632,34.156,2.0
-118.632,34.1657,1.0
-118.632,34.1665,1.0
-118.632,34.1674,2.0
-118.632,34.1683,3.0
-118.6318,34.1561,5.0
-118.6316,34.1605,1.0
-118.6316,34.2226,2.0
-118.6315,34.1604,1.0
-118.6315,34.1634,2.0
-118.6315,34.1828,1.0
-118.6315,34.1846,2.0
-118.6315,34.1864,2.0
-118.6315,34.1883,1.0
-118.6315,34.1899,3.0
-118.6315,34.1928,1.0
-118.6315,34.1937,5.0
-118.6315,34.1946,2.0
-118.6315,34.2101,1.0
-118.6314,34.2087,3.0
-118.6313,34.2033,2.0
-118.6312,34.1576,2.0
-118.6311,34.1615,23.0
-118.6311,34.206,1.0
-118.6311,34.2138,3.0
-118.6311,34.214,2.0
-118.6311,34.2175,1.0
-118.631,34.205,1.0
-118.631,34.2196,2.0
-118.6308,34.1626,7.0
-118.6308,34.2024,2.0
-118.6308,34.2235,1.0
-118.6307,34.1979,2.0
-118.6306,34.1665,2.0
-118.6306,34.1701,1.0
-118.6305,34.2092,1.0
-118.6305,34.2101,2.0
-118.6304,34.1713,1.0
-118.6304,34.1899,1.0
-118.6304,34.1946,4.0
-118.6304,34.2163,1.0
-118.6303,34.1575,1.0
-118.6302,34.1618,28.0
-118.6302,34.1937,1.0
-118.6302,34.2119,1.0
-118.6302,34.217,2.0
-118.6301,34.1701,2.0
-118.6301,34.1999,4.0
-118.6301,34.2059,2.0
-118.6301,34.2225,1.0
-118.6301,34.2242,7.0
-118.63,34.1653,1.0
-118.63,34.1998,1.0
-118.63,34.2193,1.0
-118.6299,34.1602,3.0
-118.6299,34.1611,1.0
-118.6299,34.1665,1.0
-118.6299,34.1683,1.0
-118.6299,34.1701,1.0
-118.6299,34.2065,1.0
-118.6298,34.1601,1.0
-118.6298,34.1611,3.0
-118.6298,34.1683,2.0
-118.6298,34.2069,1.0
-118.6297,34.1491,1.0
-118.6297,34.1531,2.0
-118.6297,34.1549,1.0
-118.6297,34.155,1.0
-118.6297,34.1979,4.0
-118.6296,34.1499,1.0
-118.6296,34.1564,1.0
-118.6296,34.1714,2.0
-118.6296,34.1828,1.0
-118.6296,34.1864,3.0
-118.6296,34.2105,1.0
-118.6295,34.201,8.0
-118.6294,34.1899,3.0
-118.6294,34.1946,2.0
-118.6294,34.2035,16.0
-118.6293,34.2119,1.0
-118.6293,34.2135,1.0
-118.6292,34.2183,1.0
-118.6288,34.1638,2.0
-118.6288,34.1719,1.0
-118.6287,34.1676,3.0
-118.6287,34.1979,1.0
-118.6287,34.2105,1.0
-118.6285,34.1928,1.0
-118.6284,34.1588,2.0
-118.6284,34.1666,1.0
-118.6284,34.1899,1.0
-118.6284,34.2008,1.0
-118.6284,34.2065,6.0
-118.6283,34.1864,2.0
-118.6283,34.189,1.0
-118.6282,34.1597,1.0
-118.6282,34.1882,1.0
-118.6281,34.1561,2.0
-118.6281,34.1597,1.0
-118.6281,34.1617,2.0
-118.6281,34.1737,1.0
-118.6278,34.1734,1.0
-118.6278,34.201,1.0
-118.6278,34.2083,2.0
-118.6278,34.2126,2.0
-118.6278,34.2148,1.0
-118.6278,34.2158,1.0
-118.6278,34.2184,1.0
-118.6277,34.1666,6.0
-118.6277,34.1683,6.0
-118.6277,34.1701,3.0
-118.6277,34.1773,1.0
-118.6277,34.1791,1.0
-118.6277,34.1864,2.0
